Name of Object Modern,Name of Object Ancient,Type of Object,Location Ancient,Location Modern,Geolocation Source,Geolocation Citation,Latitude,Longitude,Date Low,Date High,Date Decision,Religious or Pagan?,Spolia (Y/N) and what? ,Still Standing?,Ruler (who commissioned it),Intent/Purpose,Naturalistic,Notes,Notes,Notes,Source for Data,Source Discussion
The Arch of Constantine,The Arch of Constantine ,sculpture,Rome,Rome,still standing,,41.8898,12.4906,312,315,315,Pagan,Yes ,Yes,Constantine,To equate Constantine with emperors of the past and make him appear as a strong ruler,parts are yes,,,,Class notes;latitude.to,Working Procedure: chose 315 as date decision bc that's when it was dedicated
The Sarcophagus of Junius Bassus,The Sarcophagus of Junius Bassus,sculpture,Rome,Rome,still standing,,41.902222,12.453333,359,359,359,Christian,No,Yes,Junius Bassus' family,To give glory to God in the afterlife of Junius Bassus in that he will find peace in heaven,yes,Picturing the Bible,,,,
Reliquary chest with Scenes from the Old and New Testaments,Reliquary chest with scenes from the Old and New Testaments,"sculpture-IVORY, sarcophagus?",Milan ,Brescia ,,,still researching,still researching,,,late 4th century,Christian,,still,,,parts are yes,,,,,
Epitaph with fish and anchor symbol,,sculpture-NOT SARCOPHAGUS,Rome,Rome,,,still researching,still researching,,,,,,,,,,,,,,
Sarcophagus with Moses and the Israelites crossing the Red Sea,,sculpture,Rome,Vatican City,,,still researching,still researching,,,last quarter of the 4th century,Christian,,,,,,,,,,
"Sarcophagus with Moses receiving the tablets of the law, a portrait of the deceased, and the Sacrifice of Isaac",,sculpture,Rome,Vatican City,,,still researching,still researching,,,4th century,Christian,,,,,,,,,,
Sarcophagus with the Sacrifice of Isaac and Jesus before Pilate,,sculpture,Rome,Vatican City,,,still researching,still researching,,,4th century,Christian,,,,,,,,,,
Marble head of an emperor of the Theodosian dynasty from Constantinople,,sculpture,Constantinople,,,,still researching,still researching,late fourth century,early 5th century,,Pagan,,,,,,Imperial Rome and Christian Triumph,,,,
"Marble portrait bust, probably representing the emperor Trajan Decius",,sculpture,,,,,still researching,still researching,,,c. AD 250,Pagan,,,,,,,,,,
Colossal marble head of Constantine,,sculpture,Rome,Rome,,wikipedia,41.892,12.4882,315,330,,Pagan,,,,,,,,,,
Strigilated marble sarcophagus from Ostia,,sculpture,Ostia,,,,still researching,still researching,,,second half of the third century,Pagan,,,,,,,,,,
Marble relief of L. Lartius Anthus,,sculpture-NOT SARCOPHAGUS,Rome,,,,still researching,still researching,,,probably early third century,Christian,,,,,,,,,,
